Title,Authors,Year,Source title,Cited by,Link,Document Type,Reg_or_Class,author_outcome,Type_of_NN,SJR_best_quartile,SJR_4_areas,sample_size,num_predictors,num_hidden_layers,hidden_layer_1,hidden_layer_2,hidden_layer_3,hidden_layer_4,hidden_layer_5,NN_complexity,RMSE_NN,RMSE_GAM,R2_NN,R2_GAM,AUC_NN,AUC_GAM
Prediction of the Total Liver Weight using anthropological clinical parameters: does complexity result in better accuracy?,Allard M.-A.; Baillié G.; Castro-Benitez C.; Faron M.; Blandin F.; Cherqui D.; Castaing D.; Cunha A.S.; Adam R.; Vibert É.,2017,HPB,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009442802&doi=10.1016%2fj.hpb.2016.11.012&partnerID=40&md5=588550ae5faaf850ef14b05d8302c2e5,Article,Reg,Both,MLP,Q1,Health & Biomedical Sciences,1560,5,1,4,NA,NA,NA,NA,5,12,11.87434209,NA,NA,NA,NA
Prediction of the Total Liver Weight using anthropological clinical parameters: does complexity result in better accuracy?,Allard M.-A.; Baillié G.; Castro-Benitez C.; Faron M.; Blandin F.; Cherqui D.; Castaing D.; Cunha A.S.; Adam R.; Vibert É.,2017,HPB,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009442802&doi=10.1016%2fj.hpb.2016.11.012&partnerID=40&md5=588550ae5faaf850ef14b05d8302c2e5,Article,Reg,Both,MLP,Q1,Health & Biomedical Sciences,1560,5,1,4,NA,NA,NA,NA,5,12,11.83215957,NA,NA,NA,NA
Daily peak electrical load forecasting with a multi-resolution approach,Amara-Ouali Y.; Fasiolo M.; Goude Y.; Yan H.,2023,International Journal of Forecasting,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134268270&doi=10.1016%2fj.ijforecast.2022.06.001&partnerID=40&md5=3a18570ce24000b13a9702c26a97629d,Article,Class,NN,CNN_MLP,Q1,Multidisciplinary & Other,NA,6,NA,NA,NA,NA,NA,NA,NA,3.85,4.08,NA,NA,NA,NA
Daily peak electrical load forecasting with a multi-resolution approach,Amara-Ouali Y.; Fasiolo M.; Goude Y.; Yan H.,2023,International Journal of Forecasting,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134268270&doi=10.1016%2fj.ijforecast.2022.06.001&partnerID=40&md5=3a18570ce24000b13a9702c26a97629d,Article,Reg,GAM,MLP,Q1,Multidisciplinary & Other,NA,6,1,50,NA,NA,NA,NA,51,10.3,9.59,NA,NA,NA,NA
Comparison of methods for predicting cow composite somatic cell counts,Anglart D.; Hallén-Sandgren C.; Emanuelson U.; Rönnegård L.,2020,Journal of Dairy Science,21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086658094&doi=10.3168%2fjds.2020-18320&partnerID=40&md5=285e7827967d7cfeffd0bd3087177066,Article,Reg,GAM,MLP,Q1,Multidisciplinary & Other,2384,934,2,200,100,NA,NA,NA,20201,0.316227766,0.3,NA,NA,NA,NA
Validation of species-climate impact models under climate change,Araújo M.B.; Pearson R.G.; Thuiller W.; Erhard M.,2005,Global Change Biology,1291,https://www.scopus.com/inward/record.uri?eid=2-s2.0-24344464067&doi=10.1111%2fj.1365-2486.2005.01000.x&partnerID=40&md5=3409edc081ea045c199d547be867056a,Article,Class,unclear,MLP,Q1,Environmental & Agricultural Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.9
Validation of species-climate impact models under climate change,Araújo M.B.; Pearson R.G.; Thuiller W.; Erhard M.,2005,Global Change Biology,1291,https://www.scopus.com/inward/record.uri?eid=2-s2.0-24344464067&doi=10.1111%2fj.1365-2486.2005.01000.x&partnerID=40&md5=3409edc081ea045c199d547be867056a,Article,Class,unclear,MLP,Q1,Environmental & Agricultural Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,0.82
Explainable machine learning reveals the relationship between hearing thresholds and speech-in-noise recognition in listeners with normal audiograms,Balan J.R.; Rodrigo H.; Saxena U.; Mishra S.K.,2023,Journal of the Acoustical Society of America,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174843929&doi=10.1121%2f10.0021303&partnerID=40&md5=7adacd2e14220dbc69099ca9028db7f7,Article,Reg,GAM,MLP,Q1,Multidisciplinary & Other,1528,13,1,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"Dengue forecasting in São Paulo city with generalized additive models, artificial neural networks and seasonal autoregressive integrated moving average models",Baquero O.S.; Santana L.M.R.; Chiaravalloti-Neto F.,2018,PLoS ONE,47,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044849675&doi=10.1371%2fjournal.pone.0195065&partnerID=40&md5=9964c618424431ce788f436e7f9d9206,Article,Reg,GAM,MLP,Q1,Multidisciplinary & Other,NA,4,2,20,10,NA,NA,NA,221,4422,2152,NA,NA,NA,NA
An ecological niche model that considers local relationships among variables: The Environmental String Model,Beaugrand G.,2024,Ecosphere,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198032891&doi=10.1002%2fecs2.70015&partnerID=40&md5=3bd2291e25e923314885e66050f701cc,Article,Class,NN,GRNN,Q1,Environmental & Agricultural Sciences,NA,9,NA,NA,NA,NA,NA,NA,NA,0.23,0.67,NA,NA,NA,NA
An ecological niche model that considers local relationships among variables: The Environmental String Model,Beaugrand G.,2024,Ecosphere,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198032891&doi=10.1002%2fecs2.70015&partnerID=40&md5=3bd2291e25e923314885e66050f701cc,Article,Class,NN,GRNN,Q1,Environmental & Agricultural Sciences,NA,9,NA,NA,NA,NA,NA,NA,NA,0.09,0.18,NA,NA,NA,NA
"NESTING DISTRIBUTION OF MASKED BOOBY SULA DACTYLATRA AT TRINDADE ISLAND, WESTERN SOUTH ATLANTIC OCEAN",Benemann V.R.; Araújo L.D.; Fabbris A.Z.; Montone R.C.; Petry M.V.,2022,Marine Ornithology,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139980208&partnerID=40&md5=87c17b134bd3644cc0b9dd11d4b1089d,Article,Class,GAM,MLP,Q3,Environmental & Agricultural Sciences,87,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96
Bankruptcy prediction by generalized additive models,Berg D.,2007,APLIMAT 2007,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957959415&partnerID=40&md5=4b6573bcc0246adb9d91baaac9f0c221,Conference paper,Class,GAM,MLP,unranked,Engineering & Computer Science,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bankruptcy prediction by generalized additive models,Berg D.,2007,APLIMAT 2007,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957959415&partnerID=40&md5=4b6573bcc0246adb9d91baaac9f0c221,Conference paper,Class,GAM,MLP,unranked,Engineering & Computer Science,NA,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High-resolution peak demand estimation using generalized additive models and deep neural networks,Berrisch J.; Narajewski M.; Ziel F.,2023,Energy and AI,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148030823&doi=10.1016%2fj.egyai.2023.100236&partnerID=40&md5=523504c37f87addeb2829a7526b25619,Article,Reg,unclear,MLP,Q1,Engineering & Computer Science,NA,21,NA,NA,NA,NA,NA,NA,NA,0.1174,0.115,NA,NA,NA,NA
High-resolution peak demand estimation using generalized additive models and deep neural networks,Berrisch J.; Narajewski M.; Ziel F.,2023,Energy and AI,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148030823&doi=10.1016%2fj.egyai.2023.100236&partnerID=40&md5=523504c37f87addeb2829a7526b25619,Article,Reg,unclear,MLP,Q1,Engineering & Computer Science,NA,21,NA,NA,NA,NA,NA,NA,NA,0.1287,0.1244,NA,NA,NA,NA
High-resolution peak demand estimation using generalized additive models and deep neural networks,Berrisch J.; Narajewski M.; Ziel F.,2023,Energy and AI,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148030823&doi=10.1016%2fj.egyai.2023.100236&partnerID=40&md5=523504c37f87addeb2829a7526b25619,Article,Reg,unclear,MLP,Q1,Engineering & Computer Science,NA,21,NA,NA,NA,NA,NA,NA,NA,0.1042,0.1038,NA,NA,NA,NA
Routing attack Detection using Ensemble Artificial Intelligence Model for IIoT,Bolleddula R.; Balakrishna M.; Vyshnavi C.S.; Harshitha A.; Nithisha B.S.; Vineetha B.,2023,"2023 2nd International Conference on Futuristic Technologies, INCOFT 2023",0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187342647&doi=10.1109%2fINCOFT60753.2023.10425527&partnerID=40&md5=dc77dc60e9b9c2e5aee8695b44a8ff7c,Conference paper,Class,unclear,MLP,unranked,Multidisciplinary & Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comparison of linear, generalized additive models and machine learning algorithms for spatial climate interpolation",Bonsoms J.; Ninyerola M.,2024,Theoretical and Applied Climatology,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176105191&doi=10.1007%2fs00704-023-04725-5&partnerID=40&md5=0f792459c622c40e08e62603138b5d12,Article,Reg,NN,MLP,Q2,Environmental & Agricultural Sciences,47118,3,1,30,NA,NA,NA,NA,31,178.48,239.04,0.85,0.72,NA,NA
"Comparison of linear, generalized additive models and machine learning algorithms for spatial climate interpolation",Bonsoms J.; Ninyerola M.,2024,Theoretical and Applied Climatology,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176105191&doi=10.1007%2fs00704-023-04725-5&partnerID=40&md5=0f792459c622c40e08e62603138b5d12,Article,Reg,NN,MLP,Q2,Environmental & Agricultural Sciences,47118,3,1,30,NA,NA,NA,NA,31,0.69,0.79,0.95,0.93,NA,NA
"Comparison of linear, generalized additive models and machine learning algorithms for spatial climate interpolation",Bonsoms J.; Ninyerola M.,2024,Theoretical and Applied Climatology,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176105191&doi=10.1007%2fs00704-023-04725-5&partnerID=40&md5=0f792459c622c40e08e62603138b5d12,Article,Reg,NN,MLP,Q2,Environmental & Agricultural Sciences,47118,3,1,30,NA,NA,NA,NA,31,0.28,0.42,0.98,0.96,NA,NA
Machine and deep learning for modelling heat-health relationships,Boudreault J.; Campagna C.; Chebana F.,2023,Science of the Total Environment,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162106938&doi=10.1016%2fj.scitotenv.2023.164660&partnerID=40&md5=e90cd16fcfc93dad22aa6c1fd151bcf7,Article,Reg,NN,MLP,Q1,Environmental & Agricultural Sciences,5967,NA,3,40,30,20,NA,NA,1871,9.105,9.257,0.055,0.023,NA,NA
Machine and deep learning for modelling heat-health relationships,Boudreault J.; Campagna C.; Chebana F.,2023,Science of the Total Environment,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162106938&doi=10.1016%2fj.scitotenv.2023.164660&partnerID=40&md5=e90cd16fcfc93dad22aa6c1fd151bcf7,Article,Reg,GAM,MLP,Q1,Environmental & Agricultural Sciences,3366,NA,1,5,NA,NA,NA,NA,6,9.147,9.063,0.01,0.028,NA,NA
Relationships between Environmental Characteristics and the Density of Age-0 Eurasian Perch Perca fluviatilis in the Littoral Zone of a Lake: A Nonlinear Approach,Brosse S.; Lek S.,2002,Transactions of the American Fisheries Society,32,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036853383&doi=10.1577%2f1548-8659%282002%29131%3c1033%3aRBECAT%3e2.0.CO%3b2&partnerID=40&md5=868194bfd6f9938e4b8213ca2f78a50e,Article,Reg,NN,MLP,Q2,Environmental & Agricultural Sciences,306,8,1,5,NA,NA,NA,NA,6,NA,NA,0.78,0.33,NA,NA
Modelling roach (Rutilus rutilus) microhabitat using linear and nonlinear techniques,Brosse S.; Lek S.,2000,Freshwater Biology,38,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033948294&doi=10.1046%2fj.1365-2427.2000.00580.x&partnerID=40&md5=e1fed88ddf51b82985fdeb5115640994,Article,Reg,NN,MLP,Q1,Environmental & Agricultural Sciences,306,8,1,5,NA,NA,NA,NA,6,NA,NA,0.62,0.48,NA,NA
Predicting fish distribution in a mesotrophic lake by hydroacoustic survey and artificial neural networks,Brosse S.; Lek S.; Dauba F.,1999,Limnology and Oceanography,37,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032774313&doi=10.4319%2flo.1999.44.5.1293&partnerID=40&md5=1630883715c8b7f5ddd48f4872032181,Article,Reg,NN,MLP,Q1,Environmental & Agricultural Sciences,732,6,1,10,NA,NA,NA,NA,11,NA,NA,0.765,0.587,NA,NA
Global models and predictions of plant diversity based on advanced machine learning techniques,Cai L.; Kreft H.; Taylor A.; Denelle P.; Schrader J.; Essl F.; van Kleunen M.; Pergl J.; Pyšek P.; Stein A.; Winter M.; Barcelona J.F.; Fuentes N.; Inderjit; Karger D.N.; Kartesz J.; Kuprijanov A.; Nishino M.; Nickrent D.; Nowak A.; Patzelt A.; Pelser P.B.; Singh P.; Wieringa J.J.; Weigelt P.,2023,New Phytologist,71,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142167000&doi=10.1111%2fnph.18533&partnerID=40&md5=1dbeb592665bea46431cf18648329de3,Article,Reg,unclear,MLP,Q1,Multidisciplinary & Other,NA,24,NA,NA,NA,NA,NA,NA,NA,0.419,0.416,0.628,0.633,NA,NA
Global models and predictions of plant diversity based on advanced machine learning techniques,Cai L.; Kreft H.; Taylor A.; Denelle P.; Schrader J.; Essl F.; van Kleunen M.; Pergl J.; Pyšek P.; Stein A.; Winter M.; Barcelona J.F.; Fuentes N.; Inderjit; Karger D.N.; Kartesz J.; Kuprijanov A.; Nishino M.; Nickrent D.; Nowak A.; Patzelt A.; Pelser P.B.; Singh P.; Wieringa J.J.; Weigelt P.,2023,New Phytologist,71,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142167000&doi=10.1111%2fnph.18533&partnerID=40&md5=1dbeb592665bea46431cf18648329de3,Article,Reg,unclear,MLP,Q1,Multidisciplinary & Other,NA,24,NA,NA,NA,NA,NA,NA,NA,0.587,0.499,0.522,0.667,NA,NA
Global models and predictions of plant diversity based on advanced machine learning techniques,Cai L.; Kreft H.; Taylor A.; Denelle P.; Schrader J.; Essl F.; van Kleunen M.; Pergl J.; Pyšek P.; Stein A.; Winter M.; Barcelona J.F.; Fuentes N.; Inderjit; Karger D.N.; Kartesz J.; Kuprijanov A.; Nishino M.; Nickrent D.; Nowak A.; Patzelt A.; Pelser P.B.; Singh P.; Wieringa J.J.; Weigelt P.,2023,New Phytologist,71,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142167000&doi=10.1111%2fnph.18533&partnerID=40&md5=1dbeb592665bea46431cf18648329de3,Article,Reg,unclear,MLP,Q1,Multidisciplinary & Other,NA,24,NA,NA,NA,NA,NA,NA,NA,0.314,0.34,0.789,0.751,NA,NA
Global models and predictions of plant diversity based on advanced machine learning techniques,Cai L.; Kreft H.; Taylor A.; Denelle P.; Schrader J.; Essl F.; van Kleunen M.; Pergl J.; Pyšek P.; Stein A.; Winter M.; Barcelona J.F.; Fuentes N.; Inderjit; Karger D.N.; Kartesz J.; Kuprijanov A.; Nishino M.; Nickrent D.; Nowak A.; Patzelt A.; Pelser P.B.; Singh P.; Wieringa J.J.; Weigelt P.,2023,New Phytologist,71,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142167000&doi=10.1111%2fnph.18533&partnerID=40&md5=1dbeb592665bea46431cf18648329de3,Article,Reg,unclear,MLP,Q1,Multidisciplinary & Other,NA,24,NA,NA,NA,NA,NA,NA,NA,0.422,0.413,0.753,0.769,NA,NA
Comparing models of the effect of air pollutants on hospital admissions and symptoms for chronic obstructive pulmonary disease,Cengiz M.A.; Terzi Y.,2012,Central European Journal of Public Health,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872957611&doi=10.21101%2fcejph.a3757&partnerID=40&md5=a7fc67712c874a72fabefc775c30e761,Article,Reg,GAM,MLP,Q3,Health & Biomedical Sciences,NA,2,NA,NA,NA,NA,NA,NA,NA,2.38,2.12,NA,NA,NA,NA
Comparing models of the effect of air pollutants on hospital admissions and symptoms for chronic obstructive pulmonary disease,Cengiz M.A.; Terzi Y.,2012,Central European Journal of Public Health,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872957611&doi=10.21101%2fcejph.a3757&partnerID=40&md5=a7fc67712c874a72fabefc775c30e761,Article,Reg,GAM,MLP,Q3,Health & Biomedical Sciences,NA,2,NA,NA,NA,NA,NA,NA,NA,1.58,1.44,NA,NA,NA,NA
Comparing models of the effect of air pollutants on hospital admissions and symptoms for chronic obstructive pulmonary disease,Cengiz M.A.; Terzi Y.,2012,Central European Journal of Public Health,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872957611&doi=10.21101%2fcejph.a3757&partnerID=40&md5=a7fc67712c874a72fabefc775c30e761,Article,Reg,GAM,MLP,Q3,Health & Biomedical Sciences,NA,2,NA,NA,NA,NA,NA,NA,NA,2.25,2.02,NA,NA,NA,NA
Comparing models of the effect of air pollutants on hospital admissions and symptoms for chronic obstructive pulmonary disease,Cengiz M.A.; Terzi Y.,2012,Central European Journal of Public Health,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872957611&doi=10.21101%2fcejph.a3757&partnerID=40&md5=a7fc67712c874a72fabefc775c30e761,Article,Reg,GAM,MLP,Q3,Health & Biomedical Sciences,NA,2,NA,NA,NA,NA,NA,NA,NA,1.36,1.31,NA,NA,NA,NA
Large Scale Pavement Crack Evaluation Through a Novel Spatial Machine Learning Approach Considering Geocomplexity,Chen C.; Song Y.; Shemery A.; Hampson K.; Dewan A.; Zhong Y.; Wu P.,2024,IEEE Transactions on Intelligent Transportation Systems,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207626512&doi=10.1109%2fTITS.2024.3467257&partnerID=40&md5=ced85ebfd908dce0769d4df771ccef58,Article,Reg,unclear,MLP,Q1,Engineering & Computer Science,NA,NA,1,NA,NA,NA,NA,NA,NA,0.846,0.858,0.351,0.315,NA,NA
Large Scale Pavement Crack Evaluation Through a Novel Spatial Machine Learning Approach Considering Geocomplexity,Chen C.; Song Y.; Shemery A.; Hampson K.; Dewan A.; Zhong Y.; Wu P.,2024,IEEE Transactions on Intelligent Transportation Systems,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207626512&doi=10.1109%2fTITS.2024.3467257&partnerID=40&md5=ced85ebfd908dce0769d4df771ccef58,Article,Reg,unclear,MLP,Q1,Engineering & Computer Science,1119,NA,1,NA,NA,NA,NA,NA,NA,0.995,1.003,0.417,0.404,NA,NA
Large Scale Pavement Crack Evaluation Through a Novel Spatial Machine Learning Approach Considering Geocomplexity,Chen C.; Song Y.; Shemery A.; Hampson K.; Dewan A.; Zhong Y.; Wu P.,2024,IEEE Transactions on Intelligent Transportation Systems,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207626512&doi=10.1109%2fTITS.2024.3467257&partnerID=40&md5=ced85ebfd908dce0769d4df771ccef58,Article,Reg,unclear,MLP,Q1,Engineering & Computer Science,NA,NA,1,NA,NA,NA,NA,NA,NA,0.957,0.944,0.445,0.454,NA,NA
Large Scale Pavement Crack Evaluation Through a Novel Spatial Machine Learning Approach Considering Geocomplexity,Chen C.; Song Y.; Shemery A.; Hampson K.; Dewan A.; Zhong Y.; Wu P.,2024,IEEE Transactions on Intelligent Transportation Systems,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207626512&doi=10.1109%2fTITS.2024.3467257&partnerID=40&md5=ced85ebfd908dce0769d4df771ccef58,Article,Reg,unclear,MLP,Q1,Engineering & Computer Science,NA,NA,1,NA,NA,NA,NA,NA,NA,0.953,0.944,0.454,0.478,NA,NA
Model selection changes the spatial heterogeneity and total potential carbon in a tropical dry forest,Corona-Núñez R.O.; Mendoza-Ponce A.; López-Martínez R.,2017,Forest Ecology and Management,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029501209&doi=10.1016%2fj.foreco.2017.09.018&partnerID=40&md5=a9a017cd978c2d578b7161f96576b190,Article,Reg,GAM,CNN,Q1,Environmental & Agricultural Sciences,73,NA,NA,NA,NA,NA,NA,NA,NA,54.8,38.5,0.68,0.78,NA,NA
Short-term wind speed forecasting using statistical and machine learning methods,Daniel L.O.; Sigauke C.; Chibaya C.; Mbuvha R.,2020,Algorithms,18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086627902&doi=10.3390%2fA13060132&partnerID=40&md5=4dfbed6839d7410f3234ebd30eaadcf5,Article,Reg,NN,MLP,Q2,Engineering & Computer Science,60769,14,NA,NA,NA,NA,NA,NA,NA,0.2091,0.2468,NA,NA,NA,NA
Delirium Prediction using Machine Learning Models on Predictive Electronic Health Records Data,Davoudi A.; Ozrazgat-Baslanti T.; Ebadi A.; Bursian A.C.; Bihorac A.; Rashidi P.,2017,"Proceedings - 2017 IEEE 17th International Conference on Bioinformatics and Bioengineering, BIBE 2017",40,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049525452&doi=10.1109%2fBIBE.2017.00014&partnerID=40&md5=7369ffaa14980dfe9dc16d27f32d7cc1,Conference paper,Class,unclear,MLP,unranked,Multidisciplinary & Other,51547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,0.86
Delirium Prediction using Machine Learning Models on Predictive Electronic Health Records Data,Davoudi A.; Ozrazgat-Baslanti T.; Ebadi A.; Bursian A.C.; Bihorac A.; Rashidi P.,2017,"Proceedings - 2017 IEEE 17th International Conference on Bioinformatics and Bioengineering, BIBE 2017",40,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049525452&doi=10.1109%2fBIBE.2017.00014&partnerID=40&md5=7369ffaa14980dfe9dc16d27f32d7cc1,Conference paper,Class,unclear,MLP,unranked,Multidisciplinary & Other,51547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,0.86
